ID,Nom Complet,Email,Téléphone,Rôle,Département,Actif,Date de Création,Dernière Connexion
"49f1722c-d6a6-47fe-b30e-42114d26f4df","Benjamin","ben@gmail.com","","admin","","Oui","23/12/2025 23:12","23/12/2025 23:13"
"e603d497-7321-4425-9a2c-6ca718dcfb21","Abby Lockhart","nurse4@openclinic.cd","","infirmiere","","Oui","23/12/2025 23:11","Jamais"
"fba48868-27fc-4db1-bc68-1127ee784ca3","Carol Hathaway","nurse3@openclinic.cd","","infirmiere","","Oui","23/12/2025 23:11","Jamais"
"44883564-eb51-4777-a7f9-532642f9af1a","Jackie Peyton","nurse2@openclinic.cd","","infirmiere","","Oui","23/12/2025 23:11","Jamais"
"39f837e1-1928-4fcf-8723-693842f0e868","Carla Espinosa","nurse1@openclinic.cd","","infirmiere","","Oui","23/12/2025 23:11","Jamais"
"6f96fdf6-099c-47f1-adcb-9b2799dbbf20","Dr. Marcus Andrews","andrews@openclinic.cd","+243 812 583 947","docteur","","Oui","23/12/2025 23:11","23/12/2025 23:48"
"abb17104-93ca-489f-9361-4b57266af7e8","Dr. Dominika Petrovic","petrovic@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"99c4513c-e9d5-48a6-bc8b-707713ea8d48","Dr. Chi Park","park@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"7c8b0091-9434-4c9c-b9d8-94c9aa6d35e6","Dr. Jessica Adams","adams@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"247bfdd2-aa79-4df5-a4f9-335910c64126","Dr. Martha Masters","masters@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"8bd5a1aa-4394-46db-a9bf-149f1704d31b","Dr. Amber Volakis","volakis@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"4472d1fd-36c0-492f-bd9e-c4bf585a1c63","Dr. Lawrence Kutner","kutner@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"ab5ac739-5552-4772-99a9-4cfc00286ee0","Dr. Remy Hadley","hadley@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"3f72f935-c9bd-48d0-92ae-72af9f32736f","Dr. Chris Taub","taub@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"c68fdb00-a931-481d-a0db-fa89cf0c9395","Dr. Robert Chase","chase@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"ed8a0bf5-cf5e-4987-9fd7-f7836a6f5f75","Dr. Allison Cameron","cameron@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"b77211aa-d63d-4408-b6f0-ca2d237a5b34","Dr. Eric Foreman","foreman@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"6f499132-a5d5-409f-9eee-24fcd0231d17","Dr. Lisa Cuddy","cuddy@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"e3775be3-85ba-4028-bcac-87792ed19ca1","Dr. James Wilson","wilson@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"9b7d7ba2-2667-4eb8-968d-a2e514f07b78","Dr. Leonard McCoy","mccoy@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"74b46688-5977-4806-b80a-c32cf9cf6816","Dr. Michaela Quinn","quinn@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"9fd25b02-a474-4cb3-aa32-f9bbcd817429","Dr. Stephen Strange","strange@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"06a404d7-0b5f-41cd-b1bb-beb0c77f664e","Dr. Meredith Grey","grey@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"7b6ed25a-8dda-41e8-a2b3-3fd731b17491","Dr. Derek Shepherd","shepherd@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"e4bc4503-af9e-4bec-91f6-77a8172dcddb","Dr. Gregory House","house@openclinic.cd","","docteur","","Oui","23/12/2025 23:11","Jamais"
"14de7c46-18bd-4751-af80-70693c660644","Alexander Fleming","pharma3@openclinic.cd","+243 992 458 101","pharmacien","","Oui","23/12/2025 23:11","23/12/2025 23:46"
"7cfca1d1-54f1-4a73-a2f9-e912b69f690f","Louis Pasteur","pharma2@openclinic.cd","","pharmacien","","Oui","23/12/2025 23:11","Jamais"
"f299b2fc-c01b-4d07-9030-8abc5a6bc4d8","Marie Curie","pharma1@openclinic.cd","","pharmacien","","Oui","23/12/2025 23:11","Jamais"
"47e30b2d-ac72-4d38-9521-ec07d862ae6e","Marie Gestion","gestion@openclinic.cd","","gestionnaire","","Oui","23/12/2025 23:11","Jamais"
"67ca520c-dab3-4a79-a810-1709e3b0a4e2","Jean Comptable","finance@openclinic.cd","","gestionnaire","","Oui","23/12/2025 23:11","Jamais"
"fc5c4641-17e4-437a-8ef9-f4335993b934","Administrateur Système","admin@openclinic.cd","","admin","","Oui","23/12/2025 23:11","Jamais"
